date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:57	36868/36868	---M-Z	200	added ('OK')	application/x-javascript	etag:%229004-52a4ca143a7c0-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/bootstrap.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/bootstrap.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:58	97362/97362	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217c52-52a4ca1622c40-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/jquery-1.12.0.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/jquery-1.12.0.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:58	1773/1773	---M-Z	200	added ('OK')	application/x-javascript	etag:%226ed-52a4ca1346580-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/bootstrap-hover-dropdown.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/bootstrap-hover-dropdown.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:59	1915/1915	---M-Z	200	added ('OK')	application/x-javascript	etag:%2277b-52a4ca143a7c0-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/echo.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/echo.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:59	3499/3499	---M-Z	200	added ('OK')	application/x-javascript	etag:%22dab-52a4ca180b0c0-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/jquery.easing.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/jquery.easing.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:59	14916/14916	---M-Z	200	added ('OK')	application/x-javascript	etag:%223a44-52a4ca18ff300-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/owl.carousel.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/owl.carousel.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:59	8426/8426	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220ea-52a4ca19f3540-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/wow.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/wow.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:47:00	31453/31453	---M-Z	200	added ('OK')	application/x-javascript	etag:%227add-52a4ca1346580-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/bootstrap-select.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/bootstrap-select.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:47:00	12792/12792	---M-Z	200	added ('OK')	application/x-javascript	etag:%2231f8-52a4ca19f3540-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/scripts.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/scripts.js	(from https://demo2.chethemes.com/html/kybook/index.html)
10:47:00	125948/125948	---M-Z	200	added ('OK')	application/x-javascript	etag:%221ebfc-52a4ca180b0c0-gzip%22	https://demo2.chethemes.com/html/kybook/assets/js/jquery-ui.min.js	D:/bookstore/demo2.chethemes.com/html/kybook/assets/js/jquery-ui.min.js	(from https://demo2.chethemes.com/html/kybook/index.html)
